package,stars,downloads,gallery
ggQQunif,8,23245,TRUE
ggupset,354,145758,TRUE
xmrr,7,24896,TRUE
ggpcp,1,5894,TRUE
gg3D,104,NA,TRUE
ggQC,46,62072,TRUE
ggdist,857,792088,TRUE
ggedit,250,99305,TRUE
ggpage,340,25991,TRUE
ggpca,2,2274,TRUE
ggbreak,133,154126,TRUE
ggimg,53,23206,TRUE
gganatogram,383,NA,TRUE
ggforce,918,5048043,TRUE
ggalt,670,495739,TRUE
ggiraph,817,832898,TRUE
ggmuller,64,44169,TRUE
ggstance,201,1403660,TRUE
ggrepel,1228,22872033,TRUE
ggraph,1083,3567784,TRUE
gginnards,24,99707,TRUE
ggpp,127,571495,TRUE
ggpmisc,102,784424,TRUE
geomnet,97,37313,TRUE
ggExtra,385,888827,TRUE
ggfortify,528,2850137,TRUE
autoplotly,88,54587,TRUE
gganimate,1958,1185730,TRUE
ggfx,170,47608,TRUE
plotROC,87,373663,TRUE
ggbump,541,35400,TRUE
ggthemes,1326,6103769,TRUE
ggspectra,5,70519,TRUE
ggstatsplot,2070,604023,TRUE
ggnetwork,147,315568,TRUE
ggtech,393,NA,TRUE
ggradar,340,NA,TRUE
ggx,151,12581,TRUE
ggTimeSeries,255,46470,TRUE
ggtree,858,NA,TRUE
ggseas,74,115858,TRUE
ggsci,676,11836466,TRUE
ggmosaic,168,341025,TRUE
survminer,521,2322447,TRUE
ggeasy,274,102672,TRUE
ggside,345,270321,TRUE
ggcorrplot,189,1726920,TRUE
ggpubr,1154,15897739,TRUE
ggthemr,898,NA,TRUE
GGally,594,6579645,TRUE
ggseqlogo,211,146268,TRUE
ggChernoff,36,31522,TRUE
ggridges,414,4724083,TRUE
lemon,187,277804,TRUE
cowplot,712,17426420,TRUE
qqplotr,51,444996,TRUE
ggalluvial,506,637491,TRUE
patchwork,2504,7355601,TRUE
ggquiver,51,41636,TRUE
ggsignif,597,11780810,TRUE
ggdag,441,208679,TRUE
ggformula,38,1253331,TRUE
ggbeeswarm,546,1315428,TRUE
ggperiodic,21,29888,TRUE
ggpol,105,155692,TRUE
ggpirate,26,NA,TRUE
esquisse,1791,644202,TRUE
ggdark,199,78097,TRUE
sugrrants,82,67607,TRUE
tvthemes,140,40012,TRUE
ggfittext,306,1262874,TRUE
ggparty,147,69320,TRUE
gggenes,524,202642,TRUE
gggenomes,641,2871,TRUE
treemapify,215,1013122,TRUE
lindia,104,57252,TRUE
gghalves,244,160816,TRUE
ggrastr,220,470462,TRUE
ggpointdensity,422,81830,TRUE
ggsom,13,26430,TRUE
ggnewscale,410,965016,TRUE
ggh4x,602,299283,TRUE
ggarrow,54,4877,TRUE
legendry,211,2038,TRUE
ggcharts,292,35664,TRUE
humapr,9,NA,TRUE
ggshadow,60,15444,TRUE
ggseg,219,24005,TRUE
mdthemes,80,19142,TRUE
ggwordcloud,174,196648,TRUE
ggasym,13,39177,TRUE
gglorenz,31,34424,TRUE
hrbrthemes,1252,2955004,TRUE
ggpattern,364,186574,TRUE
ggtext,657,3205090,TRUE
calendR,255,49984,TRUE
ggip,27,16438,TRUE
gglm,79,42189,TRUE
econocharts,252,NA,TRUE
ComplexUpset,486,66655,TRUE
ggchromatic,13,NA,TRUE
ggheatmap,87,24201,TRUE
see,897,695468,TRUE
directlabels,82,563787,TRUE
ggHoriPlot,144,14167,TRUE
ggtrace,15,7238,TRUE
ggESDA,21,8935,TRUE
geomtextpath,629,102282,TRUE
ggdensity,229,26402,TRUE
ggtranscript,135,NA,TRUE
piecepackr,59,33869,TRUE
oblicubes,20,5609,TRUE
ggDoubleHeat,14,9279,TRUE
nflplotR,20,31301,TRUE
ggbraid,81,1233,TRUE
ggblanket,168,26449,TRUE
ggpie,48,22050,TRUE
ggstar,100,61181,TRUE
ggarchery,32,15680,TRUE
tidyterra,187,161408,TRUE
ggseqplot,14,16406,TRUE
ggsurvfit,3,153033,TRUE
ggsector,4,7530,TRUE
ggterror,0,NA,TRUE
ggragged,35,4571,TRUE
ggmapinset,36,6459,TRUE
ggmagnify,278,NA,TRUE
ggblend,184,5759,TRUE
ggflowchart,88,6347,TRUE
ggrain,75,28410,TRUE
ggoutlierscatterplot,4,NA,TRUE
ggautothemes,2,NA,TRUE
AMR,91,130774,TRUE
ichimoku,31,56685,TRUE
eheat,12,NA,TRUE
ggstats,35,1214852,TRUE
ggfoundry,17,1799,TRUE
ggalign,227,3785,TRUE
ggreveal,33,2380,TRUE
geofacet,340,89089,TRUE
tidyplots,415,9112,TRUE
rphylopic,91,37263,TRUE
deeptime,90,26928,TRUE
